Cancer_Label,Sex,Period,Age_Group,Age_Group_Sort,Total_Cases,Total_Population,Rate_per_100k
Colon,Male,2013-2017,60-64,13,66,456396,14.461125864380934
Colon,Male,2013-2017,65-69,14,72,299347,24.052353957113315
Colon,Male,2013-2017,70-74,15,47,197559,23.790361360403725
Colon,Male,2013-2017,75-79,16,44,237704,18.5104163160906
Corpus uteri,Female,1993-1997,0-4,1,0,643220,0.0
Corpus uteri,Female,1993-1997,5-9,2,1,725190,0.13789489650988015
Corpus uteri,Female,1993-1997,10-14,3,0,608940,0.0
Corpus uteri,Female,1993-1997,15-19,4,0,598555,0.0
Corpus uteri,Female,1993-1997,20-24,5,0,704920,0.0
Corpus uteri,Female,1993-1997,25-29,6,0,637700,0.0
Corpus uteri,Female,1993-1997,30-34,7,1,556745,0.17961544333581803
Corpus uteri,Female,1993-1997,35-39,8,4,530755,0.7536433947866717
Corpus uteri,Female,1993-1997,40-44,9,9,364390,2.4698811712725375
Corpus uteri,Female,1993-1997,45-49,10,9,242000,3.71900826446281
Corpus uteri,Female,1993-1997,50-54,11,10,177085,5.647005675240703
Corpus uteri,Female,1993-1997,55-59,12,20,147355,13.572664653388076
Corpus uteri,Female,1993-1997,60-64,13,16,156375,10.23181454836131
Corpus uteri,Female,1993-1997,65-69,14,6,91160,6.581834137779729
Corpus uteri,Female,1993-1997,70-74,15,9,65790,13.679890560875513
Corpus uteri,Female,1993-1997,75-79,16,6,33340,17.996400719856027
Corpus uteri,Female,1998-2002,0-4,1,0,756655,0.0
Corpus uteri,Female,1998-2002,5-9,2,0,778730,0.0
Corpus uteri,Female,1998-2002,10-14,3,0,870590,0.0
Corpus uteri,Female,1998-2002,15-19,4,1,798260,0.12527246761706712
Corpus uteri,Female,1998-2002,20-24,5,0,912800,0.0
Corpus uteri,Female,1998-2002,25-29,6,0,880815,0.0
Corpus uteri,Female,1998-2002,30-34,7,1,713015,0.14024950386738005
Corpus uteri,Female,1998-2002,35-39,8,6,654240,0.917094644167278
Corpus uteri,Female,1998-2002,40-44,9,4,485225,0.8243598330671339
Corpus uteri,Female,1998-2002,45-49,10,13,419695,3.097487461132489
Corpus uteri,Female,1998-2002,50-54,11,20,311145,6.427871249738868
Corpus uteri,Female,1998-2002,55-59,12,19,226335,8.394636269246913
Corpus uteri,Female,1998-2002,60-64,13,16,209555,7.635227028703682
Corpus uteri,Female,1998-2002,65-69,14,19,168525,11.274291648123423
Corpus uteri,Female,1998-2002,70-74,15,12,111500,10.762331838565023
Corpus uteri,Female,1998-2002,75-79,16,4,56570,7.070885628424961
Corpus uteri,Female,2003-2007,0-4,1,0,841379,0.0
Corpus uteri,Female,2003-2007,5-9,2,0,842661,0.0
Corpus uteri,Female,2003-2007,10-14,3,0,1005738,0.0
Corpus uteri,Female,2003-2007,15-19,4,0,930824,0.0
Corpus uteri,Female,2003-2007,20-24,5,1,1062940,0.0940786874141532
Corpus uteri,Female,2003-2007,25-29,6,2,1034593,0.1933127326397917
Corpus uteri,Female,2003-2007,30-34,7,0,842246,0.0
Corpus uteri,Female,2003-2007,35-39,8,4,773050,0.5174309553069012
Corpus uteri,Female,2003-2007,40-44,9,7,579958,1.206983954010463
Corpus uteri,Female,2003-2007,45-49,10,11,513620,2.141661150266734
Corpus uteri,Female,2003-2007,50-54,11,28,377656,7.414154680449934
Corpus uteri,Female,2003-2007,55-59,12,28,269642,10.38413896944838
Corpus uteri,Female,2003-2007,60-64,13,21,244715,8.581411029156365
Corpus uteri,Female,2003-2007,65-69,14,23,210595,10.921436881217502
Corpus uteri,Female,2003-2007,70-74,15,22,136640,16.10070257611241
Corpus uteri,Female,2003-2007,75-79,16,10,141402,7.072035756212783
Corpus uteri,Female,2008-2011,0-4,1,0,829911,0.0
Corpus uteri,Female,2008-2011,5-9,2,0,761063,0.0
Corpus uteri,Female,2008-2011,10-14,3,0,1094154,0.0
Corpus uteri,Female,2008-2011,15-19,4,0,1006524,0.0
Corpus uteri,Female,2008-2011,20-24,5,0,1128163,0.0
Corpus uteri,Female,2008-2011,25-29,6,2,1115926,0.17922335351985705
Corpus uteri,Female,2008-2011,30-34,7,3,901495,0.3327805478677086
Corpus uteri,Female,2008-2011,35-39,8,7,804982,0.8695846615203819
Corpus uteri,Female,2008-2011,40-44,9,7,637887,1.0973730456961814
Corpus uteri,Female,2008-2011,45-49,10,20,618364,3.2343409383469934
Corpus uteri,Female,2008-2011,50-54,11,33,452736,7.289016115351993
Corpus uteri,Female,2008-2011,55-59,12,36,301253,11.950088463849323
Corpus uteri,Female,2008-2011,60-64,13,44,259687,16.94347425939689
Corpus uteri,Female,2008-2011,65-69,14,36,256286,14.046807082712283
Corpus uteri,Female,2008-2011,70-74,15,19,160934,11.806081996346329
Corpus uteri,Female,2008-2011,75-79,16,10,186746,5.35486703865143
Corpus uteri,Female,2013-2017,0-4,1,0,1074305,0.0
Corpus uteri,Female,2013-2017,5-9,2,0,963313,0.0
Corpus uteri,Female,2013-2017,10-14,3,0,907697,0.0
Corpus uteri,Female,2013-2017,15-19,4,0,996311,0.0
Corpus uteri,Female,2013-2017,20-24,5,0,1541215,0.0
Corpus uteri,Female,2013-2017,25-29,6,1,1650504,0.060587553862335386
Corpus uteri,Female,2013-2017,30-34,7,3,1297818,0.23115721927111507
Corpus uteri,Female,2013-2017,35-39,8,14,1062421,1.3177450370427541
Corpus uteri,Female,2013-2017,40-44,9,19,877902,2.1642506794608054
Corpus uteri,Female,2013-2017,45-49,10,38,736162,5.161907297578522
Corpus uteri,Female,2013-2017,50-54,11,69,610618,11.300027185572649
Corpus uteri,Female,2013-2017,55-59,12,86,513842,16.736662242479206
Corpus uteri,Female,2013-2017,60-64,13,93,439699,21.15083272875308
Corpus uteri,Female,2013-2017,65-69,14,82,273122,30.023213069617242
Corpus uteri,Female,2013-2017,70-74,15,49,193940,25.265546045168605
Corpus uteri,Female,2013-2017,75-79,16,30,261372,11.477893576970756
Larynx,Male,1993-1997,0-4,1,1,654595,0.1527662142240622
Larynx,Male,1993-1997,5-9,2,0,797660,0.0
Larynx,Male,1993-1997,10-14,3,0,615965,0.0
Larynx,Male,1993-1997,15-19,4,0,665315,0.0
Larynx,Male,1993-1997,20-24,5,0,721845,0.0
Larynx,Male,1993-1997,25-29,6,1,658605,0.15183607777043903
Larynx,Male,1993-1997,30-34,7,6,603600,0.9940357852882704
Larynx,Male,1993-1997,35-39,8,5,576945,0.8666337345847525
Larynx,Male,1993-1997,40-44,9,17,483375,3.516938194983191
Larynx,Male,1993-1997,45-49,10,22,355980,6.180122478790944
Larynx,Male,1993-1997,50-54,11,34,243975,13.935854083410186
Larynx,Male,1993-1997,55-59,12,39,145090,26.879867668343785
Larynx,Male,1993-1997,60-64,13,55,160220,34.3277992759955
Larynx,Male,1993-1997,65-69,14,52,86120,60.38086391082211
Larynx,Male,1993-1997,70-74,15,37,67385,54.9083623951918
Larynx,Male,1993-1997,75-79,16,22,29310,75.05970658478334
Larynx,Male,1998-2002,0-4,1,0,837385,0.0
Larynx,Male,1998-2002,5-9,2,0,846900,0.0
Larynx,Male,1998-2002,10-14,3,0,946070,0.0
Larynx,Male,1998-2002,15-19,4,3,950555,0.315605093866215
Larynx,Male,1998-2002,20-24,5,3,1059265,0.28321524830896894
Larynx,Male,1998-2002,25-29,6,2,954795,0.2094690483297462
Larynx,Male,1998-2002,30-34,7,3,813295,0.36886984427544744
Larynx,Male,1998-2002,35-39,8,10,689670,1.449968825670248
Larynx,Male,1998-2002,40-44,9,19,589150,3.2249851480947127
Larynx,Male,1998-2002,45-49,10,32,463275,6.907344449840807
Larynx,Male,1998-2002,50-54,11,39,379430,10.278575758374403
Larynx,Male,1998-2002,55-59,12,40,247215,16.180247962300022
Larynx,Male,1998-2002,60-64,13,60,205510,29.195659578609316
Larynx,Male,1998-2002,65-69,14,68,147085,46.23177074480743
Larynx,Male,1998-2002,70-74,15,49,104545,46.869768998995646
Larynx,Male,1998-2002,75-79,16,17,54630,31.118433095368843
Larynx,Male,2003-2007,0-4,1,0,951909,0.0
Larynx,Male,2003-2007,5-9,2,0,912393,0.0
Larynx,Male,2003-2007,10-14,3,0,1103733,0.0
Larynx,Male,2003-2007,15-19,4,0,1124183,0.0
Larynx,Male,2003-2007,20-24,5,0,1258508,0.0
Larynx,Male,2003-2007,25-29,6,3,1130162,0.2654486701906452
Larynx,Male,2003-2007,30-34,7,3,953709,0.31456135991167117
Larynx,Male,2003-2007,35-39,8,13,799027,1.6269788129812888
Larynx,Male,2003-2007,40-44,9,12,690338,1.738278930031376
Larynx,Male,2003-2007,45-49,10,19,548984,3.4609387523133646
Larynx,Male,2003-2007,50-54,11,32,458670,6.976693483332243
Larynx,Male,2003-2007,55-59,12,45,295689,15.218692612846606
Larynx,Male,2003-2007,60-64,13,51,236778,21.539163266857564
Larynx,Male,2003-2007,65-69,14,41,178871,22.9215468130664
Larynx,Male,2003-2007,70-74,15,42,125967,33.34206577913263
Larynx,Male,2003-2007,75-79,16,20,130948,15.273238231969943
Larynx,Male,2008-2011,0-4,1,0,998887,0.0
Larynx,Male,2008-2011,5-9,2,0,807911,0.0
Larynx,Male,2008-2011,10-14,3,0,1245851,0.0
Larynx,Male,2008-2011,15-19,4,0,1270231,0.0
Larynx,Male,2008-2011,20-24,5,1,1437551,0.0695627494259334
Larynx,Male,2008-2011,25-29,6,3,1271128,0.23601085020548676
Larynx,Male,2008-2011,30-34,7,2,1026110,0.19491087700149107
Larynx,Male,2008-2011,35-39,8,5,810974,0.6165425771972961
Larynx,Male,2008-2011,40-44,9,10,720791,1.3873647145982677
Larynx,Male,2008-2011,45-49,10,22,596503,3.688162507145815
Larynx,Male,2008-2011,50-54,11,25,537176,4.65396815941144
Larynx,Male,2008-2011,55-59,12,51,345999,14.739926994008652
Larynx,Male,2008-2011,60-64,13,74,243451,30.39626043844552
Larynx,Male,2008-2011,65-69,14,49,210311,23.298828877234193
Larynx,Male,2008-2011,70-74,15,42,131185,32.015855471281014
Larynx,Male,2008-2011,75-79,16,18,172552,10.431637998980017
Larynx,Male,2013-2017,0-4,1,0,1197333,0.0
Larynx,Male,2013-2017,5-9,2,0,1112778,0.0
Larynx,Male,2013-2017,10-14,3,0,1031264,0.0
Larynx,Male,2013-2017,15-19,4,1,1142065,0.0875606905036053
Larynx,Male,2013-2017,20-24,5,0,1686156,0.0
Larynx,Male,2013-2017,25-29,6,1,1790878,0.055838532831382154
Larynx,Male,2013-2017,30-34,7,1,1506026,0.06639991607050609
Larynx,Male,2013-2017,35-39,8,5,1224909,0.40819358825839314
Larynx,Male,2013-2017,40-44,9,10,964181,1.0371496638079365
Larynx,Male,2013-2017,45-49,10,17,760050,2.2366949542793235
Larynx,Male,2013-2017,50-54,11,39,641815,6.076517376502575
Larynx,Male,2013-2017,55-59,12,49,536567,9.132130749747935
Larynx,Male,2013-2017,60-64,13,79,456396,17.309529443728692
Larynx,Male,2013-2017,65-69,14,65,299347,21.7139306557273
Larynx,Male,2013-2017,70-74,15,61,197559,30.876851978396328
Larynx,Male,2013-2017,75-79,16,36,237704,15.1448860768014
Liver,Male,1993-1997,0-4,1,4,654595,0.6110648568962488
Liver,Male,1993-1997,5-9,2,0,797660,0.0
Liver,Male,1993-1997,10-14,3,1,615965,0.16234688659258237
Liver,Male,1993-1997,15-19,4,0,665315,0.0
Liver,Male,1993-1997,20-24,5,1,721845,0.1385338957809502
Liver,Male,1993-1997,25-29,6,3,658605,0.4555082333113171
Liver,Male,1993-1997,30-34,7,0,603600,0.0
Liver,Male,1993-1997,35-39,8,7,576945,1.2132872284186533
Liver,Male,1993-1997,40-44,9,4,483375,0.8275148694078097
Liver,Male,1993-1997,45-49,10,18,355980,5.056463846283499
Liver,Male,1993-1997,50-54,11,15,243975,6.148170919151552
Liver,Male,1993-1997,55-59,12,23,145090,15.85222965056172
Liver,Male,1993-1997,60-64,13,26,160220,16.227686930470604
Liver,Male,1993-1997,65-69,14,24,86120,27.868091035764053
Liver,Male,1993-1997,70-74,15,13,67385,19.292127328040365
Liver,Male,1993-1997,75-79,16,8,29310,27.294438758103038
Liver,Male,1998-2002,0-4,1,1,837385,0.11941938296004825
Liver,Male,1998-2002,5-9,2,0,846900,0.0
Liver,Male,1998-2002,10-14,3,3,946070,0.317101271576099
Liver,Male,1998-2002,15-19,4,1,950555,0.10520169795540502
Liver,Male,1998-2002,20-24,5,1,1059265,0.09440508276965631
Liver,Male,1998-2002,25-29,6,5,954795,0.5236726208243655
Liver,Male,1998-2002,30-34,7,4,813295,0.4918264590339299
Liver,Male,1998-2002,35-39,8,7,689670,1.0149781779691736
Liver,Male,1998-2002,40-44,9,12,589150,2.0368327251124505
Liver,Male,1998-2002,45-49,10,16,463275,3.4536722249204037
Liver,Male,1998-2002,50-54,11,19,379430,5.007511266900351
Liver,Male,1998-2002,55-59,12,20,247215,8.090123981150011
Liver,Male,1998-2002,60-64,13,31,205510,15.084424115614814
Liver,Male,1998-2002,65-69,14,29,147085,19.716490464697284
Liver,Male,1998-2002,70-74,15,27,104545,25.826199244344544
Liver,Male,1998-2002,75-79,16,17,54630,31.118433095368843
Liver,Male,2003-2007,0-4,1,3,951909,0.3151561756428398
Liver,Male,2003-2007,5-9,2,0,912393,0.0
Liver,Male,2003-2007,10-14,3,1,1103733,0.09060162195023615
Liver,Male,2003-2007,15-19,4,0,1124183,0.0
Liver,Male,2003-2007,20-24,5,0,1258508,0.0
Liver,Male,2003-2007,25-29,6,2,1130162,0.17696578012709682
Liver,Male,2003-2007,30-34,7,1,953709,0.10485378663722372
Liver,Male,2003-2007,35-39,8,7,799027,0.8760655146822321
Liver,Male,2003-2007,40-44,9,4,690338,0.5794263100104586
Liver,Male,2003-2007,45-49,10,16,548984,2.9144747387902017
Liver,Male,2003-2007,50-54,11,36,458670,7.848780168748774
Liver,Male,2003-2007,55-59,12,26,295689,8.793022398533594
Liver,Male,2003-2007,60-64,13,49,236778,20.69449019756903
Liver,Male,2003-2007,65-69,14,48,178871,26.834981634809445
Liver,Male,2003-2007,70-74,15,44,125967,34.929783197186566
Liver,Male,2003-2007,75-79,16,40,130948,30.546476463939886
Liver,Male,2008-2011,0-4,1,2,998887,0.20022284802985724
Liver,Male,2008-2011,5-9,2,1,807911,0.12377600998129744
Liver,Male,2008-2011,10-14,3,0,1245851,0.0
Liver,Male,2008-2011,15-19,4,0,1270231,0.0
Liver,Male,2008-2011,20-24,5,2,1437551,0.1391254988518668
Liver,Male,2008-2011,25-29,6,2,1271128,0.15734056680365785
Liver,Male,2008-2011,30-34,7,3,1026110,0.2923663155022366
Liver,Male,2008-2011,35-39,8,7,810974,0.8631596080762145
Liver,Male,2008-2011,40-44,9,9,720791,1.248628243138441
Liver,Male,2008-2011,45-49,10,14,596503,2.3470125045473367
Liver,Male,2008-2011,50-54,11,21,537176,3.90933325390561
Liver,Male,2008-2011,55-59,12,28,345999,8.092508937887104
Liver,Male,2008-2011,60-64,13,38,243451,15.608890495417969
Liver,Male,2008-2011,65-69,14,41,210311,19.494938448297997
Liver,Male,2008-2011,70-74,15,30,131185,22.868468193772152
Liver,Male,2008-2011,75-79,16,22,172552,12.749779776531131
Liver,Male,2013-2017,0-4,1,2,1197333,0.16703790841812596
Liver,Male,2013-2017,5-9,2,2,1112778,0.17973036850117455
Liver,Male,2013-2017,10-14,3,0,1031264,0.0
Liver,Male,2013-2017,15-19,4,1,1142065,0.0875606905036053
Liver,Male,2013-2017,20-24,5,0,1686156,0.0
Liver,Male,2013-2017,25-29,6,2,1790878,0.11167706566276431
Liver,Male,2013-2017,30-34,7,4,1506026,0.26559966428202436
Liver,Male,2013-2017,35-39,8,12,1224909,0.9796646118201433
Liver,Male,2013-2017,40-44,9,4,964181,0.4148598655231746
Liver,Male,2013-2017,45-49,10,14,760050,1.8419840799947371
Liver,Male,2013-2017,50-54,11,28,641815,4.362627860053131
Liver,Male,2013-2017,55-59,12,43,536567,8.013910657942064
Liver,Male,2013-2017,60-64,13,65,456396,14.242017896738798
Liver,Male,2013-2017,65-69,14,83,299347,27.72701914500563
Liver,Male,2013-2017,70-74,15,74,197559,37.45716469510374
Liver,Male,2013-2017,75-79,16,54,237704,22.7173291152021
Mouth,Female,1993-1997,0-4,1,0,643220,0.0
Mouth,Female,1993-1997,5-9,2,0,725190,0.0
Mouth,Female,1993-1997,10-14,3,1,608940,0.16421979176930404
Mouth,Female,1993-1997,15-19,4,1,598555,0.16706902456750006
Mouth,Female,1993-1997,20-24,5,1,704920,0.14186006922771377
Mouth,Female,1993-1997,25-29,6,2,637700,0.31362709738121375
Mouth,Female,1993-1997,30-34,7,6,556745,1.077692660014908
Mouth,Female,1993-1997,35-39,8,15,530755,2.826162730450019
Mouth,Female,1993-1997,40-44,9,18,364390,4.939762342545075
Mouth,Female,1993-1997,45-49,10,32,242000,13.223140495867769
Mouth,Female,1993-1997,50-54,11,31,177085,17.50571759324618
Mouth,Female,1993-1997,55-59,12,27,147355,18.323097282073903
Mouth,Female,1993-1997,60-64,13,31,156375,19.82414068745004
Mouth,Female,1993-1997,65-69,14,19,91160,20.842474769635807
Mouth,Female,1993-1997,70-74,15,11,65790,16.719866241070072
Mouth,Female,1993-1997,75-79,16,3,33340,8.998200359928013
Mouth,Male,1993-1997,0-4,1,1,654595,0.1527662142240622
Mouth,Male,1993-1997,5-9,2,0,797660,0.0
Mouth,Male,1993-1997,10-14,3,0,615965,0.0
Mouth,Male,1993-1997,15-19,4,1,665315,0.15030474286616113
Mouth,Male,1993-1997,20-24,5,2,721845,0.2770677915619004
Mouth,Male,1993-1997,25-29,6,0,658605,0.0
Mouth,Male,1993-1997,30-34,7,13,603600,2.1537442014579193
Mouth,Male,1993-1997,35-39,8,15,576945,2.5999012037542575
Mouth,Male,1993-1997,40-44,9,35,483375,7.240755107318334
Mouth,Male,1993-1997,45-49,10,50,355980,14.045732906343053
Mouth,Male,1993-1997,50-54,11,53,243975,21.72353724766882
Mouth,Male,1993-1997,55-59,12,56,145090,38.596733062237234
Mouth,Male,1993-1997,60-64,13,57,160220,35.576082886031706
Mouth,Male,1993-1997,65-69,14,32,86120,37.15745471435206
Mouth,Male,1993-1997,70-74,15,15,67385,22.26014691696965
Mouth,Male,1993-1997,75-79,16,8,29310,27.294438758103038
Mouth,Female,1998-2002,0-4,1,0,756655,0.0
Mouth,Female,1998-2002,5-9,2,0,778730,0.0
Mouth,Female,1998-2002,10-14,3,0,870590,0.0
Mouth,Female,1998-2002,15-19,4,0,798260,0.0
Mouth,Female,1998-2002,20-24,5,0,912800,0.0
Mouth,Female,1998-2002,25-29,6,4,880815,0.4541248729869496
Mouth,Female,1998-2002,30-34,7,5,713015,0.7012475193369003
Mouth,Female,1998-2002,35-39,8,18,654240,2.7512839325018343
Mouth,Female,1998-2002,40-44,9,27,485225,5.564428873203154
Mouth,Female,1998-2002,45-49,10,44,419695,10.48380371460227
Mouth,Female,1998-2002,50-54,11,53,311145,17.033858811808
Mouth,Female,1998-2002,55-59,12,40,226335,17.67291846157245
Mouth,Female,1998-2002,60-64,13,49,209555,23.382882775405026
Mouth,Female,1998-2002,65-69,14,25,168525,14.83459427384661
Mouth,Female,1998-2002,70-74,15,27,111500,24.2152466367713
Mouth,Female,1998-2002,75-79,16,11,56570,19.44493547816864
Mouth,Male,1998-2002,0-4,1,0,837385,0.0
Mouth,Male,1998-2002,5-9,2,1,846900,0.11807769512339118
Mouth,Male,1998-2002,10-14,3,0,946070,0.0
Mouth,Male,1998-2002,15-19,4,0,950555,0.0
Mouth,Male,1998-2002,20-24,5,2,1059265,0.18881016553931262
Mouth,Male,1998-2002,25-29,6,2,954795,0.2094690483297462
Mouth,Male,1998-2002,30-34,7,11,813295,1.3525227623433071
Mouth,Male,1998-2002,35-39,8,27,689670,3.9149158293096695
Mouth,Male,1998-2002,40-44,9,51,589150,8.656539081727912
Mouth,Male,1998-2002,45-49,10,64,463275,13.814688899681615
Mouth,Male,1998-2002,50-54,11,70,379430,18.448725720159185
Mouth,Male,1998-2002,55-59,12,61,247215,24.674878142507534
Mouth,Male,1998-2002,60-64,13,65,205510,31.62863121016009
Mouth,Male,1998-2002,65-69,14,40,147085,27.195159261651426
Mouth,Male,1998-2002,70-74,15,33,104545,31.56535463197666
Mouth,Male,1998-2002,75-79,16,10,54630,18.304960644334617
Mouth,Female,2003-2007,0-4,1,0,841379,0.0
Mouth,Female,2003-2007,5-9,2,0,842661,0.0
Mouth,Female,2003-2007,10-14,3,0,1005738,0.0
Mouth,Female,2003-2007,15-19,4,1,930824,0.10743169492836455
Mouth,Female,2003-2007,20-24,5,2,1062940,0.1881573748283064
Mouth,Female,2003-2007,25-29,6,3,1034593,0.28996909895968753
Mouth,Female,2003-2007,30-34,7,6,842246,0.7123809433348451
Mouth,Female,2003-2007,35-39,8,11,773050,1.4229351270939785
Mouth,Female,2003-2007,40-44,9,21,579958,3.6209518620313887
Mouth,Female,2003-2007,45-49,10,25,513620,4.867411705151669
Mouth,Female,2003-2007,50-54,11,36,377656,9.532484589149913
Mouth,Female,2003-2007,55-59,12,40,269642,14.834484242069113
Mouth,Female,2003-2007,60-64,13,67,244715,27.378787569213166
Mouth,Female,2003-2007,65-69,14,42,210595,19.943493435266742
Mouth,Female,2003-2007,70-74,15,20,136640,14.637002341920375
Mouth,Female,2003-2007,75-79,16,13,141402,9.193646483076618
Mouth,Male,2003-2007,0-4,1,0,951909,0.0
Mouth,Male,2003-2007,5-9,2,1,912393,0.10960189304389666
Mouth,Male,2003-2007,10-14,3,2,1103733,0.1812032439004723
Mouth,Male,2003-2007,15-19,4,1,1124183,0.08895348888926446
Mouth,Male,2003-2007,20-24,5,5,1258508,0.39729584555680214
Mouth,Male,2003-2007,25-29,6,3,1130162,0.2654486701906452
Mouth,Male,2003-2007,30-34,7,12,953709,1.2582454396466847
Mouth,Male,2003-2007,35-39,8,24,799027,3.0036531931962247
Mouth,Male,2003-2007,40-44,9,58,690338,8.40168149515165
Mouth,Male,2003-2007,45-49,10,52,548984,9.472042901068155
Mouth,Male,2003-2007,50-54,11,97,458670,21.14810212135086
Mouth,Male,2003-2007,55-59,12,85,295689,28.746419379821365
Mouth,Male,2003-2007,60-64,13,78,236778,32.94224970225274
Mouth,Male,2003-2007,65-69,14,66,178871,36.898099747862986
Mouth,Male,2003-2007,70-74,15,44,125967,34.929783197186566
Mouth,Male,2003-2007,75-79,16,17,130948,12.982252497174452
Mouth,Female,2008-2011,0-4,1,0,829911,0.0
Mouth,Female,2008-2011,5-9,2,0,761063,0.0
Mouth,Female,2008-2011,10-14,3,0,1094154,0.0
Mouth,Female,2008-2011,15-19,4,0,1006524,0.0
Mouth,Female,2008-2011,20-24,5,1,1128163,0.08863967352235448
Mouth,Female,2008-2011,25-29,6,3,1115926,0.26883503027978556
Mouth,Female,2008-2011,30-34,7,4,901495,0.44370739715694485
Mouth,Female,2008-2011,35-39,8,14,804982,1.7391693230407639
Mouth,Female,2008-2011,40-44,9,18,637887,2.821816403218752
Mouth,Female,2008-2011,45-49,10,34,618364,5.4983795951898875
Mouth,Female,2008-2011,50-54,11,44,452736,9.718688153802658
Mouth,Female,2008-2011,55-59,12,37,301253,12.282035365622916
Mouth,Female,2008-2011,60-64,13,51,259687,19.639026982482758
Mouth,Female,2008-2011,65-69,14,42,256286,16.38794159649766
Mouth,Female,2008-2011,70-74,15,27,160934,16.777063889544785
Mouth,Female,2008-2011,75-79,16,14,186746,7.496813854112003
Mouth,Male,2008-2011,0-4,1,1,998887,0.10011142401492862
Mouth,Male,2008-2011,5-9,2,1,807911,0.12377600998129744
Mouth,Male,2008-2011,10-14,3,0,1245851,0.0
Mouth,Male,2008-2011,15-19,4,1,1270231,0.07872583805622757
Mouth,Male,2008-2011,20-24,5,2,1437551,0.1391254988518668
Mouth,Male,2008-2011,25-29,6,8,1271128,0.6293622672146314
Mouth,Male,2008-2011,30-34,7,29,1026110,2.8262077165216204
Mouth,Male,2008-2011,35-39,8,41,810974,5.055649133017828
Mouth,Male,2008-2011,40-44,9,64,720791,8.879134173428914
Mouth,Male,2008-2011,45-49,10,71,596503,11.902706273061494
Mouth,Male,2008-2011,50-54,11,65,537176,12.100317214469746
Mouth,Male,2008-2011,55-59,12,69,345999,19.94225416836465
Mouth,Male,2008-2011,60-64,13,91,243451,37.37918513376408
Mouth,Male,2008-2011,65-69,14,74,210311,35.1859864676598
Mouth,Male,2008-2011,70-74,15,39,131185,29.7290086519038
Mouth,Male,2008-2011,75-79,16,16,172552,9.27256711020446
Mouth,Female,2013-2017,0-4,1,0,1074305,0.0
Mouth,Female,2013-2017,5-9,2,0,963313,0.0
Mouth,Female,2013-2017,10-14,3,2,907697,0.22033784401623008
Mouth,Female,2013-2017,15-19,4,1,996311,0.10037026591094547
Mouth,Female,2013-2017,20-24,5,1,1541215,0.06488387408635395
Mouth,Female,2013-2017,25-29,6,7,1650504,0.4241128770363477
Mouth,Female,2013-2017,30-34,7,11,1297818,0.8475764706607553
Mouth,Female,2013-2017,35-39,8,12,1062421,1.1294957460366464
Mouth,Female,2013-2017,40-44,9,24,877902,2.733790331950491
Mouth,Female,2013-2017,45-49,10,38,736162,5.161907297578522
Mouth,Female,2013-2017,50-54,11,44,610618,7.205814437176762
Mouth,Female,2013-2017,55-59,12,55,513842,10.703679341120422
Mouth,Female,2013-2017,60-64,13,63,439699,14.327983461413375
Mouth,Female,2013-2017,65-69,14,54,273122,19.771384216577207
Mouth,Female,2013-2017,70-74,15,43,193940,22.171805713107148
Mouth,Female,2013-2017,75-79,16,19,261372,7.269332598748144
Mouth,Male,2013-2017,0-4,1,0,1197333,0.0
Mouth,Male,2013-2017,5-9,2,0,1112778,0.0
Mouth,Male,2013-2017,10-14,3,0,1031264,0.0
Mouth,Male,2013-2017,15-19,4,0,1142065,0.0
Mouth,Male,2013-2017,20-24,5,1,1686156,0.05930649358659578
Mouth,Male,2013-2017,25-29,6,15,1790878,0.8375779924707322
Mouth,Male,2013-2017,30-34,7,36,1506026,2.3903969785382193
Mouth,Male,2013-2017,35-39,8,112,1224909,9.143536376988004
Mouth,Male,2013-2017,40-44,9,110,964181,11.408646301887302
Mouth,Male,2013-2017,45-49,10,132,760050,17.367278468521807
Mouth,Male,2013-2017,50-54,11,111,641815,17.294703302353483
Mouth,Male,2013-2017,55-59,12,160,536567,29.819202448156524
Mouth,Male,2013-2017,60-64,13,140,456396,30.675115469898948
Mouth,Male,2013-2017,65-69,14,136,299347,45.43222414121404
Mouth,Male,2013-2017,70-74,15,65,197559,32.90156358353707
